Operator	Schlagwort	Kompetenz	Ç?hnliche Kompetenz	Unterkompetenz	Referenzrahmen	Evidenzen	Kompetenzbereiche (KMK)	Metaoperator
verstehen	Lebenslanges Lernen	<p>Die LehramtsanwÇÏrter¶ÿLehrerinnen und Lehrer verstehen ihren Beruf als stÇÏndige Lernaufgabe</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung	Innovieren
kennen		<p>Die LehramtsanwÇÏrter¶ÿkennen Methoden der Selbst- und Fremdevaluation</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung	Innovieren
rezipieren		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">rezipieren und bewerten Ergebnisse der¶ÿ</span><span style=""line-height:1231;"">Bildungsforschung</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Bildungsforschung	Innovieren
kennen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">kennen organisatorische Bedingungen und¶ÿ</span><span style=""line-height:1231;"">Kooperationsstrukturen an Schulen</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Schulentwicklung##Bildungsforschung	Innovieren
nutzen	Lebenslanges Lernen	<p>Die LehramtsanwÇÏrter¶ÿnutzen formelle und informelle, individuelle und kooperative Weiterbildungsangebote</p>	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung	Innovieren
dokumentieren		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">dokumentieren fÇ¬r sich und andere die¶ÿ</span><span style=""line-height:1231;"">eigene Arbeit und ihre Ergebnisse</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung	Innovieren
beteiligen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">beteiligen sich an der Planung und Umsetzung schulischer Projekte¶ÿ</span><span style=""line-height:1231;"">und Vorhaben</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung	Innovieren
reflektieren		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">reflektieren den spezifischen¶ÿ</span><span style=""line-height:1231;"">Bildungsauftrag einzelner Schularten,¶ÿ</span><span style=""line-height:1231;"">Schulformen und BildungsgÇÏnge</span></p>"	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung##Bildungsforschung	Innovieren
kennen		<p>Die LehramtsanwÇÏrter¶ÿkennen Ziele und Methoden der Schulentwicklung</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Schulentwicklung	Innovieren
kennen	Kooperation	"<p>Die LehramsanwÇÏrter ¶ÿ<span style=""line-height:1231;"">kennen die Bedingungen fÇ¬r erfolgreiche¶ÿ</span><span style=""line-height:1231;"">Kooperation</span></p>"	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Kommunikation##Schulentwicklung	Innovieren
nutzen		"<p>Die LehramtsanwÇÏrter¶ÿ<span style=""line-height:1231;"">nutzen Verfahren und Instrumente der¶ÿ</span><span style=""line-height:1231;"">internen Evaluation von Unterricht und¶ÿ</span><span style=""line-height:1231;"">Schule</span></p>"	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Schulentwicklung	Innovieren
unterstÇ¬tzen	Kooperation	<p>Die LehramtsanwÇÏrter¶ÿunterstÇ¬tzen eine Gruppe darin, gute Arbeitsergebnisse zu erreichen</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren	KMK Standards fÇ¬r die Lehrerbildung: Bildungswissenschaften		Beruf und Rolle des Lehrers##Kommunikation##Schulentwicklung	Innovieren
reflektieren		Die LehramtsanwÇÏrter reflektieren ihr eigenes Verhalten vor der Klasse	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren			Beruf und Rolle des Lehrers##Lernen, Entwicklung und Sozialisation	Beurteilen
strukturieren		Die LehramtsanwÇÏrter strukturieren Unterrichtsinhalte	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren			Bildung und Erziehung##Didaktik und Methodik	Unterrichten
benennen		Die LehramtsanwÇÏrter benennen Schwerpunkte der RahmenlehrplÇÏne der einzelnen FÇÏcher	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren			Didaktik und Methodik##Differenzierung, Integration und FÇôrderung	Unterrichten
kommunizieren		Die LehramtsanwÇÏrter kommunizieren in angemessener Form mit anderen Kollegen	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren			Beruf und Rolle des Lehrers##Kommunikation	Verwendeter Operator ist Metaoperator
planen		Die LehramtsanwÇÏrter planen die Bedingungen und den Rahmen fÇ¬r den Lernprozess der SuS	weiÇ? ich nicht	Wie ein(e) professionelle(r) Lehrer(in) agieren			Bildung und Erziehung##Didaktik und Methodik	Unterrichten
bewerten		<p>Die LehramtsanwÇÏrter bewerten fremde UnterrichtsentwÇ¬rfe bzgl fachlicher und didaktisch-methodischer Gesichtspunkte</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		<p>Die LehramtsanwÇÏrter geben qualifiziertes Feedback</p>	Didaktik und Methodik##Diagnostik, Beurteilung und Beratung	Beurteilen
bewerten		<p>Die Lehramtskandidaten bewerten fremden Unterricht anhand ausgewÇÏhlter Kriterien</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren		<p>Die LehramtsanwÇÏrter geben qualifiziertes Feedback</p>	Diagnostik, Beurteilung und Beratung	Beurteilen
reflektieren, konzipieren		<p>Die LehramtsanwÇÏrter reflektieren ihre FÇÏhigkeiten im Handlungsfeld Schule theoretisch und konzipieren daraus geeignete Handlungsmodelle</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		<p>Die LehramtsanwÇÏrter begrÇ¬nden Entscheidungen fÇ¬r Handlungsmodelle an ihren eigenen FÇÏhigkeiten</p>	Didaktik und Methodik	Innovieren
wenden		<p>Die LehramtsanwÇÏrter wenden Forschungsmethoden an, um schul- und unterrichtsbezogene Vorhaben zu bearbeiten</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren			Bildungsforschung	Anderer
planen		<p>Die LehramtsanwÇÏrter planen Unterricht und Unterrichtsphasen nach wissenschaftlichen Erkenntnissen</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren		<p>Die LehramtswÇÏrter begrÇ¬nden ihre Entscheidungen an eigenen Forschungsergebnissen oder ausgewÇÏhlter Literatur</p>	Didaktik und Methodik##Bildungsforschung	Anderer
agieren	Informatik	Wie ein(e) professionelle(r) Informatiklehrer(in) agieren		Wie ein(e) professionelle(r) Lehrer(in) agieren			Fachkompetenzen	Anderer
kennen	Informatik	Die Studierenden kennen die Merkmale der drei Programmierstile und kÇônnen den Zweck unterschiedlicher Programmierstile erklÇÏren		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen	
definieren	Informatik	Die Studierenden kÇônnen die Zeit- und PlatzkomplexitÇÏt eines Algorithmus/Programms definieren, die 						
verschiedenen Abstraktionsschritte hin zum O-KalkÇ¬l erlÇÏutern und mit dem O-KalkÇ¬l 								
"Rechnen"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
angeben	Informatik	Die Studierenden kÇônnen angeben, wie Datentypen und Datenstrukturen im Von-Neumann-Rechnermodell 						
"implementiert werden """		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
beschreiben, abschÇÏtzen, vergleichen	Informatik	Die Studierenden kÇônnen effiziente Algorithmen zum Multiplizieren und Matrixmultiplizieren beschreiben, 						
"ihre Laufzeit abschÇÏtzen und mit den gelÇÏufigen Schulalgorithmen vergleichen"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
verwenden	Informatik	Die Studierenden kennen verschiedene Entwurfsparadigmen, nennen Beispiele fÇ¬r Algorithmen, die die 						
Entwurfsparadigmen verwenden	 und skizzieren die Laufzeiten von Algorithmen	 die die 						
"Entwurfsparadigmen verwenden"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
beschreiben, abschÇÏtzen, vergleichen	Informatik	Die Studierenden beschreiben die Arbeitsweise und Effizienz von Standard-Algorithmen auf Folgen, 						
BÇÏumen	 Graphen und Punktmengen	 u.a. zum Suchen und Sortieren auf Folgen	 zum 					
Durchlaufen	 zum Suchen	 EinfÇ¬gen	 LÇôschen auf allgemeinen und ausgeglichenen 					
SuchbÇÏumen	 Suchen kÇ¬rzester Wege und minimaler SpannbÇÏume auf Graphen	 Suchen 						
"kÇ¬rzester AbstÇÏnde und Bilden konvexer HÇ¬llen auf Punktmengen"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
beschreiben	Informatik	Die Studierenden kÇônnen EffizienzmaÇ?e auf Parallelrechnersystemen erlÇÏutern und zwei effiziente parallele 						
"Algorithmen beschreiben"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
vergleichen	Informatik	Die Studierenden kÇônnen die QualitÇÏt von Algorithmen anhand ihrer Effizienz beurteilen und verschiedene 						
"Algorithmen miteinander vergleichen"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
vorschlagen, begrÇ¬nden	Informatik	Die Studierenden kÇônnen fÇ¬r typische Probleme abhÇÏngig von gegebenen Rahmenbedingungen geeignete 						
"effiziente Algorithmen vorschlagen und ihren Vorschlag begrÇ¬nden"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
implementieren	Informatik	Die Studierenden sind in der Lage, vorgestellte Algorithmen mit einer Programmiersprache ihrer Wahl zu 						
"Implementieren"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
GefÇ¬hl erwerben	Informatik	Die Studierenden erwerben ein GefÇ¬hl fÇ¬r die KomplexitÇÏt eines Problems und die ZugÇÏnglichkeit fÇ¬r eine 						
"akzeptable praktische LÇôsung"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
prÇÏsentieren, verteidigen	Informatik	Die Studierenden kÇônnen bearbeitete Aufgaben prÇÏsentieren und gegen kritische EinwÇÏnde verteidigen		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Handlungskompetenzen	
prÇÏsentieren, beschreiben	Informatik	Die Studierenden trauen sich, auch erfolglose LÇôsungsansÇÏtze zu prÇÏsentieren, und sind in der Lage, 						
prÇÏzise zu beschreiben	 an welcher Stelle welche scheinbar unÇ¬berwindbaren Hindernisse 							
"Bestehen"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Handlungskompetenzen			
bedienen	Informatik	Die Studierenden bedienen sich zur LÇôsung von Problemen ausgewÇÏhlter Literatur in verstÇÏndiger Weise		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Handlungskompetenzen	
Fragen stellen	Informatik	Die Studierenden kÇônnen zu Themen der Vorlesung prÇÏzise Fragen stellen		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Handlungskompetenzen	
beschreiben	Informatik	Die Studierenden kÇônnen den Gegenstand der Wissenschaft Informatik beschreiben, die Entwicklung 						
"Informatik skizzieren und Teilgebiete der Informatik angeben"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
definieren	Informatik	Die Studierenden kÇônnen den Begriff des Algorithmus definieren, Merkmale von Algorithmen nennen, 						
wesentliche Schritte der Algorithmenentwicklung beschreiben	 den sprachlichen Aufbau von 							
"Algorithmen beschreiben und einfache Algorithmen in einer halbformalen Notation erstellen"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
definieren	Informatik	Die Studierenden wissen um die Grenzen der Algorithmisierung, kÇônnen den Begriff Berechenbarkeit 						
definieren	 nicht-berechenbare Funktionen angeben	 einfache Funktionen mithilfe von 						
Diagonalisierung auf Berechenbarkeit Ç¬berprÇ¬fen und die Aussage der Churchschen These 								
"ErlÇÏutern"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
unterscheiden, erlÇÏutern	Informatik	Die Studierenden kÇônnen Algorithmen und Programme unterscheiden, einfache Algorithmen in Programme 						
funktionaler und imperativer Notation umsetzen und dabei die PrÇÏzisierungsansÇÏtze 								
"ErlÇÏutern"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
erlÇÏutern	Informatik	Die Studierenden kÇônnen den Begriff des Modells und den Stellenwert der Modellbildung im informatischen 						
Entwicklungsprozess erlÇÏutern	" ferner unterschiedliche Modelltypen angeben"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen		
angeben, erlÇÏutern	Informatik	Die Studierenden kÇônnen den Zweck einer Spezifikation erlÇÏutern und funktionale Spezifikationen zu 						
"einfachen Problemen angeben"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
erlÇÏutern	Informatik	Die Studierenden kÇônnen den Begriff des Datentyps definieren, den Zweck von Datentypen im infomatischen 						
Modellbildungsprozess erlÇÏutern	 elementare Datentypen mit zugrunde liegenden Mengen 							
und Operationen angeben	 Datentypkonstruktoren mit ihren mathematischen Konzepten 							
beschreiben und wichtige Datenstrukturen in Programmiersprachen (z.B. Sequenz	 Baum	 						
"File) definieren"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
kennen, programmieren	Informatik	Die Studierenden kennen die Grundprinzipien funktionaler Programmierung, darunter die Begriffe 						
Rechenvorschrift	 Funktional	 Currying	 Rekursion	 Polymorphie und kÇônnen kleinere 				
"funktionale Programme schreiben"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Fachkompetenzen			
durchfÇ¬hren	Informatik	Die Studierenden kennen die Grundprinzipien funktionaler Programmierung, darunter die Begriffe 						
Rechenvorschrift	 Funktional	 Currying	 Rekursion	 Polymorphie und kÇônnen kleinere 				
"funktionale Programme schreiben"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
durchfÇ¬hren	Informatik	Die Studierenden kÇônnen zu vorgegebenen einfachen Problemstellungen alle Phasen der 						
Programmentwicklung durchfÇ¬hren	 also Spezifikation	 Algorithmenentwicklung	 					
PrÇÏzisierung von Daten und AblÇÏufen	 Programmierung in imperativer und funktionaler 							
"Darstellung"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
beurteilen	Informatik	Die Studierenden kÇônnen einfache funktionale Programme hinsichtlich ihrer Korrektheit mit formalen oder 						
"halbformalen Methoden beurteilen"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
verinnerlichen	Informatik	Die Studierenden verinnerlichen das Wesen informatischer Modellbildung und den fortwÇÏhrenden Zwang zur 						
"PrÇÏzisierung aller Phasen und der jeweiligen Zwischenergebnisse"""		Wie ein(e) professionelle(r) Informatiklehrer(in) agieren			Methodenkompetenzen			
use	computer science	CS students use tools interactively			tools	tools		
act	computer science	CS students act autonomously			tools	tools		
interact	computer science	CS students interact in heterogeneous groups			groups	groups		
explore	computer science	CS students explore informatics systems systematically			tools	tools		
